assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,entry_n,exit_n,ema_n,strong_threshold,base_exposure,strong_exposure,part,train_rank,train_cagr_pct,train_mdd_pct,mdd35_ok,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,-4.108075207006356,-2.337860165324157,-23.70947705815336,0.8545888587811528,-0.07369574609738458,40.0,15,0,9589192.479299365,AVAXUSDT
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,33.11277186638728,11.177887150016552,-22.15495119992974,1.8578280807029155,0.8428496631231982,33.33333333333333,51,0,13311277.186638728,BTCUSDT
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,48.58204180447123,15.799480439425118,-19.016702091028627,1.743404596188632,0.9485013942220533,40.0,45,0,14858204.180447124,ETHUSDT
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,2.642622933062344,0.9955195081084334,-24.792469289790475,1.0428933480012417,0.14261138695787326,32.142857142857146,56,0,10264262.293306235,BNBUSDT
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,194.78456866058752,54.44720734596984,-22.70883393378028,2.689413226104356,1.6301602018326828,43.333333333333336,30,0,29478456.866058752,XRPUSDT
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,94.10212693720787,30.36385807255073,-24.6283481663075,2.992121098892465,1.1432426262044832,52.17391304347826,23,0,19410212.693720788,ADAUSDT
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,141.11944378690043,50.93933825749455,-23.191041789575927,3.068492423512229,1.5369145565544462,50.0,28,0,24111944.37869004,DOGEUSDT
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,16.28029912714368,6.849174494902899,-24.45443398643964,1.2484404753722103,0.38653174927531886,34.285714285714285,35,0,11628029.912714368,LINKUSDT
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,-17.551523116202006,-7.146927718550355,-45.44283262919884,0.7830240477462311,-0.17867127891074594,35.13513513513514,37,0,8244847.688379799,LTCUSDT
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,20.045992566488934,10.63542076488706,-22.289252532801285,1.6868649110514355,0.6270066706046746,37.5,24,0,12004599.256648894,SOLUSDT
