assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,ema_n,leverage,part,eligible
10,10,1203.5129316575055,52.25052321094087,-60.95113080865109,1.4778294025065215,1.0773478229758362,1509,0,200,40,200,1.0,train,True
10,10,748.2118328370748,40.918054812598214,-61.347366648154114,1.3806360090325902,1.047902664762932,1471,0,200,30,300,1.0,train,True
10,9,662.383880497038,43.667343689108485,-61.412051693462544,1.2441139266354289,0.9539205130817386,3282,0,80,30,300,1.0,train,True
10,10,724.2037596832766,42.51867556201354,-61.49293107445033,1.3849667322703616,1.047124838842517,1463,0,200,30,200,1.0,train,True
10,9,730.5348836676617,44.68300818579705,-61.638624555944936,1.2596450018116225,0.9839516712501137,3078,0,80,30,400,1.0,train,True
10,9,613.1322700759433,46.74874140767492,-61.685352735322084,1.3246132483741717,1.0039513579879746,2390,0,120,30,400,1.0,train,True
10,10,775.1584368929737,47.866808124644336,-61.756189993263256,1.3078963326596593,1.0089547911030008,4721,0,80,60,200,0.8,train,True
10,9,1108.3409843782397,55.2384069322334,-61.90803108257843,1.399206308914676,1.1634486359224145,2441,0,120,40,400,1.0,train,True
10,10,1223.7868667359446,52.28641835540112,-61.92637096983039,1.4751574420429296,1.0033122159398977,1654,0,200,60,300,1.0,train,True
10,10,651.0000975225703,46.08220202962049,-61.94982732629197,1.3583824425551172,0.9968704266094321,2143,0,200,30,100,1.0,train,True
