symbol,strategy,timeframe,leverage,data_start,data_end,bars,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw
LINKUSDT,Donchian 80/40,1h,2.0,2019-01-16 10:00:00+00:00,2026-08-21 23:00:00+00:00,66530,101.50568639772426,9.662106057479459,-98.85410562162492,1.0041095179990769,0.7103648485537949,37.5886524822695,282,0,20150568.639772426
LTCUSDT,"Supertrend 10,3",4h,1.0,2017-12-13 00:00:00+00:00,2026-08-21 20:00:00+00:00,19028,-1.078495504046384,-0.12470880049459954,-84.13471396115489,0.998796852690715,0.30930143620696193,36.18090452261307,199,0,9892150.449595362
LTCUSDT,Donchian 20/10,4h,1.0,2017-12-13 00:00:00+00:00,2026-08-21 20:00:00+00:00,19028,-84.49670407015643,-19.30724012880749,-87.00659769568288,0.7094051907574274,-0.10003058615415063,35.984848484848484,264,0,1550329.5929843576
LTCUSDT,Donchian 20/10,4h,2.0,2017-12-13 00:00:00+00:00,2026-08-21 20:00:00+00:00,19028,-100.0,-100.0,-100.0,0.2611988381016477,-0.07976537632975993,36.86440677966102,236,1,0.0
LTCUSDT,"Supertrend 40,3",1h,1.0,2017-12-13 03:00:00+00:00,2026-08-21 23:00:00+00:00,76051,-94.92451703019334,-29.037770796757346,-96.49299348312118,0.846495848141644,-0.194765128779984,36.86690223792697,849,0,507548.2969806657
LTCUSDT,Donchian 80/40,1h,1.0,2017-12-13 03:00:00+00:00,2026-08-21 23:00:00+00:00,76051,-91.33050625137412,-24.52813729096387,-95.71598250522352,0.7855371127930515,-0.18886529021843787,33.22884012539185,319,0,866949.3748625884
LTCUSDT,Donchian 80/40,1h,2.0,2017-12-13 03:00:00+00:00,2026-08-21 23:00:00+00:00,76051,-100.0,-100.0,-100.0,0.5498098351548758,-0.18506315200189757,33.91608391608392,286,1,0.0
SOLUSDT,"Supertrend 10,3",4h,1.0,2020-08-11 04:00:00+00:00,2026-08-21 20:00:00+00:00,13211,1941.9234555602873,64.94046544460818,-76.11931644765781,1.2127350606524345,1.0062379905199348,39.473684210526315,152,0,204192345.55602872
SOLUSDT,Donchian 20/10,4h,1.0,2020-08-11 04:00:00+00:00,2026-08-21 20:00:00+00:00,13211,1596.650026104055,59.949003426764214,-77.49046106697683,1.2524666602797463,0.9927610961312654,39.361702127659576,188,0,169665002.6104055
SOLUSDT,Donchian 20/10,4h,2.0,2020-08-11 04:00:00+00:00,2026-08-21 20:00:00+00:00,13211,2113.0653053016763,67.1575473040457,-95.56370443727674,1.094996949899502,1.0465802360216547,39.361702127659576,188,0,221306530.53016764
SOLUSDT,"Supertrend 40,3",1h,1.0,2020-08-11 06:00:00+00:00,2026-08-21 23:00:00+00:00,52822,-82.77432696872208,-25.305454931167283,-89.1174181302234,0.8815344246959058,0.06012097604387213,37.34756097560975,656,0,1722567.3031277924
SOLUSDT,Donchian 80/40,1h,1.0,2020-08-11 06:00:00+00:00,2026-08-21 23:00:00+00:00,52822,1160.6342053515375,52.2570025834241,-67.7679976052964,1.2003737067263927,0.929037156654995,37.5,216,0,126063420.53515375
SOLUSDT,Donchian 80/40,1h,2.0,2020-08-11 06:00:00+00:00,2026-08-21 23:00:00+00:00,52822,812.0703883568401,44.297758743702495,-90.28083493326577,1.0643004615980844,0.9578067505606566,37.5,216,0,91207038.83568402
AVAXUSDT,"Supertrend 10,3",4h,1.0,2020-09-22 04:00:00+00:00,2026-08-21 20:00:00+00:00,12959,3480.083755557598,83.14462643671663,-73.80399108063,1.132509454890851,1.1388516525816648,36.496350364963504,137,0,358008375.5557598
AVAXUSDT,Donchian 20/10,4h,1.0,2020-09-22 04:00:00+00:00,2026-08-21 20:00:00+00:00,12959,1529.9120813903855,60.32491656729411,-75.58389098096117,1.1366966675063859,1.005622916089789,35.79545454545455,176,0,162991208.13903856
AVAXUSDT,Donchian 20/10,4h,2.0,2020-09-22 04:00:00+00:00,2026-08-21 20:00:00+00:00,12959,925.2172163956984,48.234410475573995,-95.145619302242,1.0267831742537978,0.9336644542038639,35.79545454545455,176,0,102521721.63956985
AVAXUSDT,"Supertrend 40,3",1h,1.0,2020-09-22 06:00:00+00:00,2026-08-21 23:00:00+00:00,51814,301.75267783793754,26.51425049742413,-80.9844735679291,1.0460834010964957,0.6915736301530723,39.285714285714285,616,0,40175267.783793755
AVAXUSDT,Donchian 80/40,1h,1.0,2020-09-22 06:00:00+00:00,2026-08-21 23:00:00+00:00,51814,413.1711503180947,31.8612304448604,-82.76133864152236,1.081648844392238,0.7411152430935036,34.13461538461539,208,0,51317115.031809464
AVAXUSDT,Donchian 80/40,1h,2.0,2020-09-22 06:00:00+00:00,2026-08-21 23:00:00+00:00,51814,9.661573375969379,1.571969986761279,-98.27034460712596,1.0010825480245542,0.67304914562266,34.13461538461539,208,0,10966157.337596938
