single,pair_total,ultra,p1,p2,trail,edge,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,1.0065230924732216,1.0100652309247322,-57.92364889963072,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-7.172434643775604,0.928275653562244,-57.14811716683923,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,2320.287510871261,24.20287510871261,-57.49436735010818,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,5501.455639119959,56.0145563911996,-52.596673625800015,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,6731.70006720711,68.3170006720711,-58.75270557333584,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,2052.5906051336187,21.52590605133619,-69.49104801639653,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-13.286681148252955,0.8671331885174705,-69.49104801639656,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-6.739500017426236,0.9326049998257376,-58.31223609914908,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-16.666185624035435,0.8333381437596457,-48.11979161636381,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,126.38161953341083,2.2638161953341083,-53.140126406678576,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,18.314856828281023,1.1831485682828102,-53.14012640667829,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,4.025213684239537,1.0402521368423954,-58.344493528383644,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,-5.943108093636262,0.9405689190636374,-67.78030867129421,0
