breadth_min,breadth_strong,breadth_ultra,base_total,strong_total,ultra_total,p1,p2,p3,trail1,trail2,trail3,edge,ultra_ema,cooldown,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,108.70008582455655,2.0870008582455655,-20.76904144370714,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,-17.156379063625803,0.828436209363742,-20.615610703097953,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,180.0211529228505,2.800211529228505,-21.782522571966943,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,11.096443252662901,1.110964432526629,-20.415022656972226,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-22.38361602191712,0.7761638397808288,-23.83307453649024,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,21.052031577831777,1.2105203157783178,-21.321524782672117,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,-1.952141255437545,0.9804785874456245,-20.313669463228614,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,45.159147556731874,1.4515914755673187,-31.0078862986394,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,123.20090074024873,2.232009007402487,-25.459453198154836,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-19.40423698524055,0.8059576301475945,-20.35509339775532,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-17.03709201577236,0.8296290798422764,-20.133067178737228,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-18.072832163539843,0.8192716783646016,-20.634421370882773,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,24.07540180761758,1.2407540180761758,-22.054849524135957,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,-17.25268364458111,0.8274731635541889,-20.54330477300065,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,108.70008582455655,2.0870008582455655,-20.76904144370714,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,-16.881575028213756,0.8311842497178624,-20.352281429450393,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,117.61123224110679,2.176112322411068,-21.496995146339838,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,1.2733633142862466,1.0127336331428625,-20.058251797086225,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-20.69792776775636,0.7930207223224364,-20.69792776775636,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,9.069363560670517,1.0906936356067052,-20.639538131558233,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,-0.5080051259866769,0.9949199487401332,-20.223112685084,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,28.092019701618675,1.2809201970161868,-23.255914723979544,0
